distance,risk,value
0.167111184,heat,0
0.167339221,heat,0
0.167702061,heat,0
0.168143253,heat,0
0.168370596,heat,0
0.168710743,heat,0
0.169161437,heat,0
0.169493271,heat,0
0.169549565,heat,0
0.169946899,heat,0
0.170268025,heat,0
0.17070767,heat,0
0.1709373,heat,0
0.171326402,heat,0
0.172745518,heat,0
0.172959912,heat,0
0.173056229,heat,0
0.174474587,heat,0
0.174767981,heat,0
0.174958415,heat,0
0.17554932,heat,0
0.175943906,heat,0
0.177434983,heat,0
0.178709557,heat,0
0.179324975,heat,0
0.180861157,heat,0
0.180999088,heat,0
0.181393674,heat,0
0.182273452,heat,0
0.182316207,heat,0
0.182352881,heat,0
0.182625091,heat,0
0.182904957,heat,0
0.183294623,heat,0
0.1833599,heat,0
0.183629966,heat,0
0.18396799,heat,0
0.184595449,heat,0
0.184679544,heat,0
0.185035978,heat,0
0.18547434,heat,0
0.185597124,heat,0
0.186065535,heat,0
0.186129426,heat,0
0.186455803,heat,0
0.186872363,heat,0
0.187677268,heat,0
0.188131124,heat,0
0.188252882,heat,0
0.189269909,heat,0
0.18964231,heat,0
0.190169849,heat,0
0.190287003,heat,0
0.190556471,heat,0
0.19090622,heat,0
0.191292841,heat,0
0.19154994,heat,0
0.191775029,heat,0
0.192148309,heat,0
0.192863091,heat,0
0.193313501,heat,0
0.19338021,heat,0
0.193508759,heat,0
0.193827947,heat,0
0.194288557,heat,0
0.194726284,heat,0
0.194996559,heat,0
0.195365565,heat,0
0.19567516,heat,0
0.196298189,heat,0
0.197178472,heat,0
0.197311562,heat,0
0.198307691,heat,0
0.199247384,heat,0
0.199524731,heat,0
0.199759654,heat,0
0.20038522,heat,0
0.200727197,heat,0
0.201278481,heat,0
0.201743776,heat,0
0.201876147,heat,0
0.202330675,heat,0
0.202796376,heat,0
0.203055036,heat,0
0.207010168,heat,0
0.207665656,heat,0
0.208477698,heat,0
0.209027262,heat,0
0.210159482,heat,0
0.210404447,heat,0
0.211696026,heat,0
0.213069087,heat,0
0.214627692,heat,0
0.215613041,heat,0
0.215822786,heat,0
0.216396708,heat,0
0.217249959,heat,0
0.21791058,heat,0
0.218719424,heat,0
0.219370001,heat,0
0.220019586,heat,0
0.220815411,heat,0
0.221496123,heat,0
0.222124348,heat,0
0.223281325,heat,0
0.223454371,heat,0
0.224008924,heat,0
0.224078387,heat,0
0.224825826,heat,0
0.224878437,heat,0
0.225480756,heat,0
0.226950293,heat,0
0.227604651,heat,0
0.228010672,heat,0
0.228383318,heat,0
0.228677192,heat,0
0.229397171,heat,0
0.229632094,heat,0
0.23091085,heat,0
0.232041891,heat,0
0.232888699,heat,0
0.233349912,heat,0
0.234372135,heat,0
0.235097932,heat,0
